Day	Hour	Count	Coverage%
2022-09-19	00	154252	100.0
2022-09-19	01	159187	100.0
2022-09-19	02	160239	100.0
2022-09-19	03	161271	100.0
2022-09-19	04	148122	100.0
2022-09-19	05	141484	100.0
2022-09-19	06	141123	100.0
2022-09-19	07	142504	100.0
2022-09-19	08	149751	100.0
2022-09-19	09	160034	100.0
2022-09-19	10	174140	100.0
2022-09-19	11	190836	100.0
2022-09-19	12	202166	100.0
2022-09-19	13	207816	100.0
2022-09-19	14	209919	100.0
2022-09-19	15	210178	100.0
2022-09-19	16	192182	100.0
2022-09-19	17	178397	100.0
2022-09-19	18	173131	100.0
2022-09-19	19	163788	100.0
2022-09-19	20	156487	100.0
2022-09-19	21	154717	100.0
2022-09-19	22	154767	100.0
2022-09-19	23	149392	100.0
